"","id","name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","reviews_per_month","availability_365"
"13950",39747236,"STYLISH AND CALM APARTMENT MALASAÑA /GRAN VIA","Centro","Universidad",40.42231,-3.70332,"Entire home/apt",55,4,0.65,1
"13951",39748963,"Salamanca Full Flat - Piso Entero","Salamanca","Lista",40.42884,-3.67595,"Entire home/apt",60,1,0.17,0
"13952",39749053,"Apartamento a estrenar con patio privado 2","Tetuán","Valdeacederas",40.46466,-3.70454,"Entire home/apt",63,2,0.84,312
"13953",39749298,"Quiet and light apartment close to Plaza Mayor","Centro","Embajadores",40.41168,-3.70624,"Entire home/apt",50,3,0.35,111
"13954",39749481,"Confortable and bright apartment in a quiet area","Ciudad Lineal","Ventas",40.42851,-3.64857,"Private room",21,3,1.38,0
"13955",39749912,"PLAZA MAYOR LOCATION AND CALM","Centro","Embajadores",40.41248,-3.70642,"Entire home/apt",76,3,0.47,146
"13956",39750038,"PLAZA MAYOR PERFECT LOCATION","Centro","Embajadores",40.41138,-3.70689,"Entire home/apt",44,3,0.12,105
"13957",39750340,"PLAZA MAYOR TOP LOCATION APARTMENT","Centro","Embajadores",40.413,-3.70659,"Entire home/apt",62,3,0.24,58
"13958",39751495,"Bright and Central Single Room.","Puente de Vallecas","San Diego",40.39376,-3.66436,"Private room",17,2,0.12,0
"13959",39752002,"Habitación en piso centrico - Manuel Becerra","Salamanca","Fuente del Berro",40.42581,-3.66524,"Private room",40,1,0,0
"13960",39753585,"Habitación Acogedora y confortable","Moncloa - Aravaca","Valdezarza",40.46324,-3.71583,"Private room",28,3,0.28,2
"13961",39754679,"Penthouse with terrace 2 minutes to Plaza Mayor","Centro","Embajadores",40.41304,-3.70664,"Entire home/apt",50,3,0.34,49
"13962",39756628,"SAN MIGUEL VIEWS AND LOCATION","Centro","Palacio",40.41469,-3.70912,"Entire home/apt",65,25,0.07,109
"13963",39765598,"Penthouse with private terrace & balcony in Plaza Mayor square. Plaza Mayor IV","Centro","Palacio",40.41392,-3.70824,"Entire home/apt",154,1,1.08,212
"13964",39765702,"Aparto Gran Vía Madrid","Centro","Palacio",40.42194,-3.71023,"Entire home/apt",35,21,0.06,365
"13965",39766700,"BNBHolder Heart of ATOCHA & PASEO DEL PRADO","Arganzuela","Palos de Moguer",40.4056,-3.69256,"Entire home/apt",63,2,0.97,192
"13966",39767657,"Estamos serca de todas las lines de metro","Ciudad Lineal","Pueblo Nuevo",40.43537,-3.63851,"Shared room",40,1,0.12,1
"13967",39769403,"Precioso Estudio en Madrid","Chamberí","Trafalgar",40.43515,-3.70398,"Entire home/apt",35,4,0.98,80
"13968",39771508,"PUERTA DE TOLEDO - 2 bedrooms flat, quite and cosy","Centro","Embajadores",40.4098,-3.70943,"Entire home/apt",164,2,0.63,0
"13969",39771607,"Habitacion privada","Villaverde","Los Rosales",40.34906,-3.68788,"Private room",39,5,0.06,365
"13970",39772125,"Belle-Haus Paseo del Prado","Centro","Cortes",40.41188,-3.69474,"Entire home/apt",101,2,0.53,90
"13971",39772391,"Corazon de Malasaña","Centro","Universidad",40.4272,-3.70266,"Entire home/apt",91,2,0.58,0
"13972",39773855,"Las Nubes","Puente de Vallecas","San Diego",40.39386,-3.67032,"Private room",20,2,0.24,164
"13973",39778364,"MALASAÑA's cozy and modern apartment","Centro","Universidad",40.42362,-3.70633,"Entire home/apt",89,2,0,0
"13974",39786681,"Stilish bass in Malasaña`s heart (Madrid ctr)","Centro","Universidad",40.42566,-3.70477,"Entire home/apt",129,1,0,365
